unveil,verb,ʌnˈveɪl,to remove a covering like a curtain from a new structure at a formal ceremony in order to show the opening or finishing of a new building or work of art
deprivation,noun,ˌdep.rəˈveɪ.ʃən,a situation in which you do not have things or conditions that are usually considered necessary for a pleasant life
thrive,verb,θraɪv,to grow develop or be successful
insist,verb,ɪnˈsɪst,to say firmly or demand forcefully especially when others disagree with or oppose what you say
wrist,noun,rɪst,the part of the body between the hand and the arm
pedigree,noun,ˈped.ə.ɡriː,a list of the parents and other relations of an animal
requisite,adjective,ˈrek.wɪ.zɪt,necessary or needed for a particular purpose
veteran,noun,ˈve.t̬ɚ.ən,a person who has had a lot of experience of a particular activity
disingenuous,adjective,ˌdɪs.ɪnˈdʒen.ju.əs,(of a person or their behaviour) slightly dishonest or not speaking the complete truth
inherited,verb,ɪnˈher.ɪt,to receive money a house etc. from someone after they have died
conquer,verb,ˈkɑːŋ.kɚ,to take control or possession of foreign land or a group of people  by force
rig,verb,rɪɡ,to arrange dishonestly for the result of something for example an election to be changed
excavate,verb,ˈek.skə.veɪt,to remove earth that is covering very old objects buried in the ground in order to discover things about the past
hull,noun,hʌl,the body or frame of a ship most of which goes under the water
mortise,noun,--,a rectangular hole in a piece of wood stone etc. into which another piece is fixed so that they form a joint
tenon,noun,--,the end of a piece of wood that is shaped to fit into a mortise (= an opening) in another piece of wood to form a joint
whereby,adverb,werˈbaɪ,by which way or method
ballast,noun,ˈbæl.əst,heavy matter such as sand or stone that is used at the bottom of a ship or a hot-air balloon to make it heavier  or the small stones on which railways and roads are made
timber,noun,ˈtɪm.bɚ,trees that are grown so that the wood from them can be used for building
oar,noun,ɔːr,a long pole with a wide  flat part at one end  used for rowing a boat
quay,noun,kiː,a long structure  usually built of stone  where boats can be tied up to take on and off their goods
shrinking,verb,ʃrɪŋk,to become smaller  or to make something smaller
thaw,verb,θɑː,to (cause to) change from a solid  frozen state to a liquid or soft one  because of an increase in temperature
degradation,noun,ˌdeɡ.rəˈdeɪ.ʃən,the process in which the beauty or quality of something is destroyed or spoiled
swift,adjective,swɪft,happening or moving quickly or within a short time  especially in a smooth and easy way
congregate,verb,ˈkɑːŋ.ɡrə.ɡeɪt,to come together in a large group of people or animals
steady,adjective,ˈsted.i,happening in a smooth  gradual  and regular way  not suddenly or unexpectedly
